name,category,description,auth_methods,self_serve,api_type,api_scope,mcp_available,buildable,blocker,evidence,toolkit_priority,integration_difficulty
Slack,Communications and Messaging,Slack's API provides tools and frameworks for developers to build interactive applications and automate workflows within the Slack platform.,UNKNOWN,Yes,REST + Webhooks,Broad,False,True,,https://docs.slack.dev,High,Easy
GitHub,"Developer, Infra and Data Platforms","The GitHub REST API enables users to create integrations, retrieve data, and automate their workflows.","Personal Access Tokens, GitHub App Installation Tokens, GitHub App User Tokens, OAuth",Yes,REST,Broad,False,True,Rate limits,https://docs.github.com/rest,High,Medium
Stripe,Finance and Fintech,"Stripe provides a RESTful API for comprehensive financial operations, including payments, billing, customer management, and various other core commerce resources.",API Key,Yes,REST,Broad,False,True,,https://docs.stripe.com/api,UNKNOWN,Medium
Shopify,Ecommerce,"Shopify provides a comprehensive suite of APIs, libraries, and tools for building and extending custom commerce experiences across all Shopify surfaces.",UNKNOWN,Yes,REST + GraphQL,Broad,False,True,Rate limits,https://shopify.dev/docs/api,High,Hard
Notion,Productivity and Project Management,Notion connections let you connect your workspace to external tools and automate workflows through code.,"API Key, OAuth2",Yes,REST + Webhooks,Broad,True,True,,https://developers.notion.com,High,Easy
HubSpot,CRM and Sales,HubSpot provides a development platform and APIs for building custom CRM and data-driven website experiences.,UNKNOWN,Yes,UNKNOWN,Broad,False,True,,https://developers.hubspot.com/docs,High,Easy
Pipedrive,CRM and Sales,Pipedrive is a web-based sales CRM offering an API and developer platform for building integrations and reaching its marketplace.,UNKNOWN,Yes,REST + Webhooks,Broad,True,True,,https://developers.pipedrive.com,High,Easy
Attio,CRM and Sales,"Attio is a highly customizable, powerful, and data-driven CRM platform enabling developers to build integrations, automations, and data pipelines.",UNKNOWN,Yes,REST + Webhooks,Broad,True,True,,https://docs.attio.com,High,Medium
Twenty,"Developer, Infra and Data Platforms","Twenty is an open-source platform that enables developers to build and extend custom applications with server-side logic, UI components, and AI agents using various APIs.","OAuth, API",Yes,REST + GraphQL,Broad,False,True,,https://twenty.com/developers,High,Medium
Podio,Productivity and Project Management,The Podio API is a complete programmable interface to all Podio functionality.,API Key,Yes,REST + Webhooks,Broad,False,True,Rate limits,https://developers.podio.com,High,Medium
Zoho CRM,CRM and Sales,"Zoho CRM V8 APIs enable developers to perform CRUD operations on CRM module entities, fetch metadata, execute composite and bulk operations, query data, and receive notifications through flexible RESTful endpoints.",UNKNOWN,UNKNOWN,REST + Webhooks,Broad,False,False,,https://www.zoho.com/crm/developer/docs/api/v8,UNKNOWN,UNKNOWN
